Case,Rainfall,Tmax,Tmin,Tmean,Humidity
105,28.0,21.9714,15.6000,18.8000,82
84,0.0,22.9286,13.8143,18.3714,80
80,0.0,23.5857,14.8286,19.2000,82
81,0.0,22.9429,13.7857,18.3571,91
82,0.0,23.2143,14.0857,18.6714,84
87,15.5,24.4000,15.2143,19.8286,75
61,0.0,23.6857,13.4286,18.5571,76
70,38.0,22.3429,15.3714,18.8571,92
99,0.0,22.8143,12.9857,17.9143,85
107,0.0,21.8429,12.3286,17.0857,87
104,0.0,23.4571,14.0143,18.7286,88
106,0.1,25.9857,16.5429,21.2571,86
68,3.6,24.8714,16.7143,20.7857,90
74,0.0,24.1714,16.4000,20.2857,91
109,5.2,24.2000,16.9143,20.5714,91
99,22.4,25.8714,17.6714,21.7857,90
112,39.0,25.2714,17.4571,21.3714,90
118,43.6,26.2286,17.4000,21.8143,90
109,75.0,25.4429,17.7429,21.6000,93
94,35.2,23.8571,17.7857,20.8143,94
88,87.6,24.0571,17.5857,20.8143,94
90,453.2,22.1714,17.2571,19.7000,94
96,112.2,24.0286,17.8000,20.9143,94
99,134.2,22.5286,17.6571,20.1000,93
125,94.0,24.9143,17.5714,21.2429,91
96,86.4,24.3429,17.5714,20.9571,92
106,23.0,24.8571,17.8286,21.3429,91
123,146.0,22.6571,17.3571,20.0143,94
107,103.0,23.1429,17.8714,20.5143,95
69,792.4,21.3143,16.8714,19.0857,96
75,471.8,19.8571,17.3714,18.5857,97
101,204.6,20.7429,17.4571,19.1000,96
138,39.4,24.1714,17.4000,20.7857,91
105,54.2,23.3286,17.4857,20.4000,95
78,543.0,20.0000,16.9714,18.4857,98
105,134.0,22.3714,17.3571,19.8643,95
152,42.8,23.8571,17.2857,20.5714,94
124,102.4,24.0857,17.7429,20.9143,94
143,151.0,24.9143,17.5714,21.2429,94
113,37.6,22.7714,17.2571,20.0429,96
129,14.6,25.1143,17.4286,21.2714,93
100,17.0,23.7429,16.8571,20.3000,91
85,11.2,23.7143,16.8286,20.2714,92
79,21.2,24.1857,16.6857,20.4429,90
108,0.0,26.2429,17.3429,21.7929,88
117,0.0,24.5571,15.8286,20.1929,87
103,0.0,24.3857,15.3714,19.8786,85
101,0.0,25.5000,17.0286,21.2714,76
82,0.0,24.6571,17.0429,20.8571,81
89,0.4,25.4000,16.2286,20.8143,76
105,1.2,23.5714,15.9429,19.7571,79
115,0.0,25.2000,16.3125,20.7625,80
121,8.5,23.6179,15.0667,19.3404,85
127,13.0,23.3423,14.7983,19.0757,86
141,5.5,22.8743,14.7640,18.8249,87
156,9.4,23.1194,14.4777,18.8006,86
92,3.6,23.0057,14.7131,18.8640,86
122,2.9,23.2589,14.7726,19.0189,87
106,5.1,23.3937,14.7686,19.0854,87
117,3.2,23.9366,14.9120,19.4260,86
126,4.9,24.1874,15.2069,19.7026,85
121,3.5,24.2131,15.1091,19.6677,85
126,3.1,24.0223,15.4189,19.7194,86
122,7.5,24.6749,15.5966,20.1383,86
109,3.3,24.2903,15.5737,19.9320,86
115,3.6,24.1766,15.6549,19.9177,86
96,5.2,24.8406,16.0920,20.4694,85
120,3.1,24.5211,16.0520,20.2914,87
99,4.7,24.9189,16.3166,20.6191,86
127,4.7,24.9383,16.5057,20.7226,87
133,6.8,24.6600,16.5897,20.6294,88
187,7.2,24.5771,16.7103,20.6449,89
182,9.9,24.4611,16.6286,20.5406,89
209,10.0,24.1469,16.6131,20.3811,90
191,6.2,24.4760,16.6674,20.5691,89
201,9.0,24.4297,16.6469,20.5423,90
182,18.5,23.8371,16.4949,20.1654,91
197,23.6,23.8520,16.4234,20.1380,90
225,18.9,23.6823,16.2674,19.9803,90
210,16.3,23.4423,16.2166,19.8314,91
222,19.8,23.1524,16.3810,19.7688,91
235,26.4,23.1750,16.3554,19.7664,91
235,36.5,22.2850,16.3479,19.3146,93
185,20.5,22.4725,16.1033,19.2890,93
150,44.9,22.4824,16.0868,19.2868,93
144,36.3,22.0945,15.9560,19.0286,93
168,25.3,22.0275,15.9220,18.9791,93
184,15.2,23.2945,16.0495,19.6769,91
150,22.8,23.2945,16.0044,19.6538,91
134,21.3,23.2440,15.8824,19.5632,91
136,9.6,23.4879,16.0736,19.7841,91
117,8.7,23.6670,15.7901,19.7313,89
149,20.7,23.1571,15.8923,19.5302,90
176,24.8,22.9451,15.6220,19.2863,90
184,5.3,23.8209,15.1846,19.5055,86
176,6.2,23.4769,15.3945,19.4379,87
164,3.8,23.8176,15.3549,19.5896,85
156,3.8,24.1231,15.3495,19.7396,82
112,1.9,24.0011,15.2165,19.6110,85
166,1.0,24.3934,14.8670,19.6330,82
174,0.9,23.8527,14.6374,19.2456,84
151,2.5,23.8077,14.7495,19.2791,85
187,2.4,23.6055,14.5132,19.0610,83
182,0.9,22.8857,14.0041,18.4469,83
169,,,,,
172,,,,,
153,,,,,
180,,,,,
95,,,,,
185,,,,,
166,,,,,
142,,,,,
131,,,,,
195,,,,,
129,,,,,
140,,,,,
142,,,,,
183,,,,,
163,,,,,
149,,,,,
122,,,,,
125,,,,,
139,,,,,
141,,,,,
164,,,,,
180,,,,,
137,,,,,
169,,,,,
273,,,,,
216,,,,,
22,,,,,
58,,,,,
155,,,,,
155,,,,,
